batch_id,batch_size,best_cut,edge_device,edge_latency_ms,edge_fps,edge_ram_mb,edge_message_size_bytes,cloud_device,cloud_latency_ms,cloud_fps,cloud_ram_mb,cloud_message_size_bytes,e2e_latency_ms
0,32,4,2,2200.939,0.0,1946.805,46015402,1,3655.599,0.0,1305.336,46015402,6194.179
1,32,0,1,2138.732,0.0,1083.402,50681668,1,5536.106,5.071,2284.02,50681668,12334.504
2,32,1,3,1071.291,0.0,1215.609,32383863,1,3349.055,8.653,2304.387,32383863,14901.526
3,32,4,2,2930.442,9.949,2044.293,46969662,1,1762.334,15.746,2345.609,46969662,18701.912
4,32,0,1,3177.289,8.825,1499.301,56422974,1,2520.522,11.199,2439.406,56422974,21288.657
5,32,1,3,2102.408,12.053,1558.695,33487041,1,2730.935,10.835,2293.203,33487041,16230.611
6,32,1,3,1961.002,13.166,1612.5,30480835,1,2143.211,13.813,2343.234,30480835,20864.483
7,32,4,2,2783.884,9.273,2188.871,44081486,1,1788.71,15.745,2325.992,44081486,22310.967
8,32,0,1,2716.787,9.527,1514.16,45850270,1,2425.175,11.983,2456.934,45850270,24487.671
9,32,1,3,1613.594,15.806,1610.461,29761773,1,2229.36,13.379,2313.25,29761773,25587.672
10,32,4,2,3244.794,8.695,2202.559,44930466,1,1778.459,15.686,2486.27,44930466,31244.743
11,32,0,1,2694.471,9.984,1513.094,46475722,1,2511.935,11.592,2547.848,46475722,28705.053
12,32,1,3,2236.317,11.177,1616.715,33279173,1,2109.703,13.961,2348.059,33279173,25639.7
13,32,0,1,2019.138,13.578,1516.434,47524160,1,2550.97,11.214,2573.762,47524160,30566.533
14,32,4,2,2644.809,10.678,2235.215,45081496,1,1808.085,15.306,2487.188,45081496,32592.835
