episode,cut_point,e2e_ms,map50,reward,epsilon
-1,6,5024.5,0.3501,0.5166,0.297
1,6,5885.3,0.347,0.5419,0.294
2,2,5910.0,0.3523,0.8048,0.2911
3,4,5454.9,0.347,0.7134,0.2882
4,7,5797.1,0.3526,0.634,0.2853
5,6,5887.2,0.3504,0.5457,0.2824
6,6,5874.0,0.3463,0.4771,0.2796
7,19,6192.7,0.3468,0.3888,0.2768
8,23,6310.3,0.3499,0.413,0.2741
9,1,6590.1,0.3516,0.366,0.2713
10,6,5914.1,0.3471,0.5645,0.2686
11,6,5606.7,0.3505,0.5023,0.2659
12,4,5493.7,0.352,0.7045,0.2633
13,6,5955.5,0.3532,0.5113,0.2606
14,6,5806.0,0.3528,0.5751,0.258
15,22,6494.3,0.35,0.4183,0.2554
16,19,6367.0,0.3513,0.4269,0.2529
17,6,5568.1,0.3528,0.6484,0.2504
18,6,4181.5,0.3519,0.5141,0.2479
19,6,4718.7,0.3532,0.507,0.2454
20,6,6317.5,0.3504,0.5832,0.2429
21,10,4858.0,0.3496,0.5226,0.2405
22,6,5824.7,0.353,0.5878,0.2381
23,6,6077.4,0.3527,0.6085,0.2357
24,6,6276.0,0.353,0.5098,0.2333
25,2,6506.2,0.3395,0.323,0.231
26,13,5375.3,0.3453,0.4155,0.2287
27,4,5202.2,0.3467,0.583,0.2264
28,11,5048.8,0.3516,0.4966,0.2242
29,4,5719.6,0.352,0.6683,0.2219
30,4,5429.7,0.3531,0.5685,0.2197
31,4,5653.3,0.3481,0.528,0.2175
32,2,6784.3,0.3526,0.601,0.2153
33,2,6865.9,0.3508,0.5197,0.2132
34,2,6035.7,0.3521,0.6825,0.211
35,6,5857.9,0.3523,0.5408,0.2089
36,4,6029.5,0.3537,0.6672,0.2068
37,4,5739.6,0.3521,0.6586,0.2048
38,7,5317.3,0.3521,0.606,0.2027
39,2,6112.7,0.3504,0.5181,0.2007
40,4,5315.2,0.3521,0.6128,0.1987
41,2,6153.9,0.3474,0.54,0.1967
42,4,5414.5,0.3527,0.6654,0.1947
43,7,6140.6,0.3526,0.5342,0.1928
44,2,7052.4,0.3526,0.5998,0.1909
45,7,5670.9,0.3524,0.506,0.1889
46,4,6664.5,0.353,0.623,0.1871
47,23,5807.0,0.352,0.3876,0.1852
48,14,5055.9,0.3513,0.4633,0.1833
49,2,6221.4,0.352,0.576,0.1815
50,23,6625.5,0.3488,0.401,0.1797
51,4,5105.0,0.3531,0.7158,0.1779
52,4,5876.6,0.3466,0.6359,0.1761
53,4,5186.6,0.3521,0.6644,0.1743
54,2,6239.3,0.3527,0.7146,0.1726
55,4,5139.8,0.347,0.6182,0.1709
56,7,5665.5,0.3525,0.6125,0.1692
57,4,5935.8,0.3468,0.5789,0.1675
58,2,6535.6,0.3522,0.654,0.1658
59,14,5267.6,0.3464,0.4966,0.1641
60,2,6410.3,0.3522,0.6541,0.1625
61,4,5910.5,0.3503,0.6163,0.1609
62,2,6217.7,0.3521,0.6996,0.1593
63,2,6026.0,0.352,0.5599,0.1577
64,2,6960.3,0.3526,0.7229,0.1561
65,2,6175.1,0.352,0.5547,0.1545
66,4,6045.9,0.3494,0.5441,0.153
67,4,5267.4,0.3504,0.6368,0.1515
68,2,6118.8,0.3522,0.6597,0.15
69,2,6577.1,0.3474,0.5454,0.1485
70,4,5152.8,0.3471,0.6097,0.147
71,17,5836.5,0.3501,0.4721,0.1455
72,2,6149.4,0.352,0.5768,0.144
73,4,5518.6,0.3489,0.5993,0.1426
74,2,5956.2,0.3468,0.6216,0.1412
75,2,6694.7,0.3521,0.6022,0.1398
76,2,6243.5,0.3526,0.6273,0.1384
77,7,5672.7,0.3526,0.5891,0.137
78,4,5976.5,0.3529,0.5898,0.1356
79,4,5181.1,0.3551,0.663,0.1343
80,4,5182.2,0.3475,0.5985,0.1329
81,6,5857.7,0.3528,0.5302,0.1316
82,4,5687.6,0.3515,0.5939,0.1303
83,2,6102.4,0.3471,0.5954,0.129
84,8,4674.4,0.3574,0.5174,0.1277
85,2,6249.8,0.352,0.5903,0.1264
86,1,7199.0,0.3469,0.4024,0.1251
87,4,5231.1,0.3509,0.6586,0.1239
88,2,5235.6,0.3469,0.7717,0.1226
89,2,5320.0,0.3471,0.6256,0.1214
90,4,4503.4,0.3468,0.7127,0.1202
91,4,4590.3,0.3472,0.6017,0.119
92,1,5971.3,0.3521,0.6066,0.1178
93,18,5589.9,0.352,0.4084,0.1166
94,4,4725.6,0.3528,0.6998,0.1155
95,2,5687.7,0.352,0.5788,0.1143
96,4,4477.4,0.3512,0.5328,0.1132
97,1,6064.0,0.3523,0.731,0.112
98,4,4480.0,0.3526,0.781,0.1109
99,7,5197.7,0.3527,0.5382,0.1098
100,2,5712.6,0.352,0.5981,0.1087
101,2,5109.6,0.3474,0.5442,0.1076
102,2,5453.2,0.3529,0.6215,0.1065
103,4,4856.2,0.3468,0.6502,0.1055
104,2,5481.3,0.3483,0.4867,0.1044
105,1,5923.7,0.3516,0.2992,0.1034
106,4,5254.6,0.3522,0.6197,0.1023
107,1,6338.1,0.3527,0.4816,0.1013
108,1,7532.9,0.3469,0.4037,0.1003
109,1,6769.1,0.3527,0.5523,0.0993
110,4,5619.3,0.3538,0.6146,0.0983
111,2,6532.1,0.3521,0.564,0.0973
112,14,5193.9,0.3479,0.4756,0.0964
113,4,5912.1,0.3517,0.7201,0.0954
114,7,5906.5,0.352,0.4398,0.0944
115,1,12000.0,0.3509,0.2353,0.0935
116,7,7522.4,0.3493,0.5475,0.0926
117,4,5606.9,0.3529,0.6749,0.0916
118,4,5296.4,0.3469,0.6881,0.0907
119,2,5999.6,0.3521,0.7824,0.0898
120,4,5673.3,0.3467,0.6229,0.0889
121,2,6312.4,0.3521,0.7262,0.088
122,4,5202.7,0.353,0.5964,0.0871
123,4,5659.5,0.3505,0.5236,0.0863
124,6,5801.5,0.3522,0.6288,0.0854
125,4,5721.6,0.3468,0.6473,0.0846
126,2,6439.7,0.3476,0.4347,0.0837
127,4,5239.2,0.3524,0.6292,0.0829
128,2,6435.6,0.3526,0.6767,0.082
129,4,5315.3,0.3524,0.7235,0.0812
130,2,6944.9,0.3474,0.544,0.0804
131,2,6424.3,0.3521,0.74,0.0796
132,2,6178.4,0.3512,0.4768,0.0788
133,4,5715.2,0.3533,0.5972,0.078
134,7,5786.6,0.3499,0.4862,0.0772
135,4,5354.2,0.3449,0.5507,0.0765
136,2,6061.9,0.3521,0.7988,0.0757
137,4,5454.9,0.3518,0.6727,0.075
138,2,6287.1,0.3522,0.6513,0.0742
139,2,6028.5,0.3521,0.4658,0.0735
140,4,5172.6,0.3521,0.6873,0.0727
141,2,6501.4,0.3526,0.6196,0.072
142,4,5443.1,0.3531,0.6726,0.0713
143,4,5459.6,0.3537,0.6397,0.0706
144,4,5368.8,0.3468,0.5825,0.0699
145,15,6046.8,0.3534,0.3525,0.0692
146,4,5696.8,0.3528,0.6424,0.0685
147,2,5872.0,0.3527,0.6847,0.0678
148,4,5275.0,0.3517,0.5801,0.0671
149,2,6518.5,0.3559,0.6522,0.0664
150,2,6610.5,0.3524,0.7825,0.0658
151,4,5298.0,0.3531,0.6016,0.0651
152,4,5289.7,0.3477,0.535,0.0645
153,2,6490.0,0.3521,0.6236,0.0638
154,4,5580.7,0.3466,0.6368,0.0632
155,7,5911.0,0.3498,0.5471,0.0625
156,2,5320.8,0.3526,0.7023,0.0619
157,4,4692.6,0.3523,0.6827,0.0613
158,2,4658.0,0.3483,0.4811,0.0607
159,7,4353.8,0.352,0.5815,0.0601
160,4,4556.4,0.3528,0.6185,0.0595
161,2,5272.5,0.3559,0.6764,0.0589
162,4,4414.4,0.3471,0.6587,0.0583
163,2,5152.4,0.3471,0.5795,0.0577
164,7,4842.4,0.3515,0.484,0.0571
165,21,5736.2,0.3528,0.3978,0.0566
166,4,4305.0,0.3521,0.6936,0.056
167,2,5194.6,0.352,0.5563,0.0554
168,6,4509.4,0.3473,0.5253,0.0549
169,2,4989.6,0.3471,0.5937,0.0543
170,4,4389.1,0.352,0.6935,0.0538
171,2,5246.4,0.3516,0.6438,0.0533
172,7,3874.5,0.3526,0.6237,0.0527
173,4,4736.5,0.3521,0.6446,0.0522
174,2,5143.4,0.3523,0.7851,0.0517
175,4,4490.2,0.3539,0.7581,0.0512
176,2,5148.6,0.3504,0.5185,0.0506
177,2,5013.3,0.3515,0.5517,0.0501
178,4,4700.1,0.3515,0.6442,0.05
179,2,5238.6,0.3559,0.6628,0.05
180,4,4402.1,0.3529,0.7311,0.05
181,2,5178.4,0.3559,0.7021,0.05
182,4,4393.2,0.3516,0.6337,0.05
183,2,5248.2,0.3521,0.687,0.05
184,1,5478.3,0.3516,0.3186,0.05
185,1,5685.2,0.3527,0.4961,0.05
186,1,5847.3,0.3521,0.5835,0.05
187,4,4637.6,0.3468,0.7356,0.05
188,1,5615.1,0.3523,0.6523,0.05
189,4,4277.9,0.3532,0.6513,0.05
190,2,5122.4,0.3497,0.6629,0.05
191,4,4654.6,0.347,0.6275,0.05
192,2,5356.7,0.3497,0.6475,0.05
193,4,4604.2,0.3466,0.6132,0.05
194,2,5366.3,0.352,0.5214,0.05
195,4,4572.4,0.3471,0.6361,0.05
196,2,5175.2,0.3521,0.721,0.05
197,2,5054.3,0.3522,0.6233,0.05
198,4,4703.8,0.3521,0.6193,0.05
199,7,4434.4,0.353,0.5532,0.05
200,7,4434.4,0.353,0.5532,0.05
