episode,cut_point,e2e_ms,map50,reward,epsilon,ratios,bits
-1,22,6256.1,0.3711,0.4193,0.297,0.3470;0.4885;0.4863;0.6077;0.5332;0.3544;0.5848;0.3342;0.4325;0.3114;0.3177;0.7342;0.4917;0.5304;0.4227;0.4285;0.5573;0.4882;0.4459;0.4649;0.5630;0.4863,8;10;10;11;10;8;11;8;9;8;8;13;10;10;9;9;11;10;9;10;11;10
1,16,7178.4,0.3746,0.3571,0.294,0.5163;0.4796;0.5863;0.4726;0.4081;0.4788;0.3885;0.6161;0.6529;0.3913;0.5209;0.4808;0.4983;0.5887;0.4491;0.5206,10;10;11;10;9;10;9;11;12;9;10;10;10;11;9;10
2,23,5876.5,0.3668,0.381,0.2911,0.4754;0.3518;0.4581;0.3863;0.2781;0.3520;0.3847;0.5387;0.4554;0.5313;0.3749;0.6312;0.3368;0.4905;0.5219;0.5471;0.5352;0.4221;0.2140;0.4108;0.4981;0.4925;0.4161,10;8;9;9;7;8;9;10;9;10;8;12;8;10;10;11;10;9;7;9;10;10;9
3,22,5329.1,0.3668,0.3584,0.2882,0.4100;0.3152;0.5200;0.4553;0.4889;0.3995;0.4501;0.4544;0.4885;0.4230;0.3576;0.2235;0.4605;0.5172;0.5140;0.4140;0.4897;0.2389;0.3955;0.5168;0.4632;0.3408,9;8;10;9;10;9;9;9;10;9;8;7;10;10;10;9;10;7;9;10;10;8
4,22,6174.2,0.3681,0.3918,0.2853,0.3876;0.4919;0.4870;0.3720;0.5162;0.5066;0.4502;0.4011;0.3909;0.4433;0.5857;0.3649;0.3943;0.3655;0.4166;0.5344;0.3053;0.4049;0.6442;0.5061;0.4737;0.4801,9;10;10;8;10;10;9;9;9;9;11;8;9;8;9;10;8;9;12;10;10;10
5,22,6388.5,0.3761,0.4296,0.2824,0.4767;0.4019;0.3873;0.2883;0.4549;0.5845;0.6579;0.4283;0.4025;0.3798;0.5133;0.4364;0.5796;0.3733;0.5365;0.4547;0.4110;0.4433;0.5602;0.4600;0.4291;0.4625,10;9;9;7;9;11;12;9;9;9;10;9;11;8;10;9;9;9;11;10;9;10
6,11,4250.0,0.3736,0.5702,0.2796,0.5057;0.4627;0.3561;0.5427;0.4050;0.5413;0.5154;0.4642;0.5271;0.4429;0.5065,10;10;8;11;9;10;10;10;10;9;10
7,22,6426.1,0.3708,0.3999,0.2768,0.5594;0.3181;0.5182;0.4104;0.5311;0.4156;0.4630;0.2889;0.4834;0.6123;0.4674;0.4044;0.3492;0.4447;0.5127;0.4117;0.4197;0.5410;0.3231;0.5618;0.4319;0.4761,11;8;10;9;10;9;10;7;10;11;10;9;8;9;10;9;9;10;8;11;9;10
8,22,6145.9,0.3722,0.4497,0.2741,0.5710;0.5634;0.4734;0.4461;0.6036;0.5153;0.4486;0.5477;0.3649;0.5443;0.5615;0.5442;0.6914;0.5195;0.5595;0.4419;0.3407;0.2788;0.5160;0.2965;0.4751;0.6179,11;11;10;9;11;10;9;11;8;11;11;11;12;10;11;9;8;7;10;8;10;11
9,22,6009.2,0.3732,0.4285,0.2713,0.4384;0.4785;0.5151;0.6550;0.5069;0.4841;0.3334;0.5216;0.3796;0.3752;0.6212;0.4948;0.5233;0.4392;0.3090;0.4048;0.4558;0.5446;0.3522;0.7034;0.5275;0.4484,9;10;10;12;10;10;8;10;9;9;11;10;10;9;8;9;9;11;8;12;10;9
